ORPHA:300	HSD17B4
ORPHA:300	EHHADH
ORPHA:37	SLC39A4
ORPHA:30	UMPS
ORPHA:31	OGDH
ORPHA:101023	UBB
ORPHA:101023	GRHL3
ORPHA:444072	BRF1
ORPHA:33	IVD
ORPHA:178464	TTN
ORPHA:178461	FHL1
ORPHA:171829	SIM1
ORPHA:99885	KCNJ11
ORPHA:99885	STAT3
ORPHA:99885	GCK
ORPHA:99885	PDX1
ORPHA:99885	ABCC8
ORPHA:99885	INS
ORPHA:99886	KCNJ11
ORPHA:99886	ZFP57
ORPHA:99886	HYMAI
ORPHA:99886	ABCC8
ORPHA:99886	PLAGL1
ORPHA:99887	GATA1
ORPHA:137908	MRPS22
ORPHA:332	CBLIF
ORPHA:331	F13B
ORPHA:331	F13A1
ORPHA:101016	CALM1
ORPHA:101016	KCNE1
ORPHA:101016	KCNJ5
ORPHA:101016	CALM2
ORPHA:101016	TBX5
ORPHA:101016	SCN10A
ORPHA:101016	KCNH2
ORPHA:101016	KCNE2
ORPHA:101016	AKAP9
ORPHA:101016	NOS1AP
ORPHA:101016	CACNA1C
ORPHA:101016	KCNQ1
ORPHA:101016	TRDN
ORPHA:101016	SCN5A
ORPHA:101016	SCN4B
ORPHA:101016	CALM3
ORPHA:101016	SNTA1
ORPHA:101016	CAV3
ORPHA:101016	ANK2
ORPHA:334	KCNE1
ORPHA:334	GJA5
ORPHA:334	KCNJ3
ORPHA:334	KCNJ5
ORPHA:334	MYL4
ORPHA:334	NKX2-5
ORPHA:334	ABCC9
ORPHA:334	NKX2-6
ORPHA:334	NPPA
ORPHA:334	SCN3B
ORPHA:334	KCNE2
ORPHA:334	GATA4
ORPHA:334	GATA6
ORPHA:334	PITX2
ORPHA:334	SCN2B
ORPHA:334	GATA5
ORPHA:334	KCNJ2
ORPHA:334	KCNQ1
ORPHA:334	SCN1B
ORPHA:334	SCN5A
ORPHA:334	SCN4B
ORPHA:334	KCNA5
ORPHA:334	TTN
ORPHA:334	NUP155
ORPHA:370968	GMPPB
ORPHA:370968	FKRP
ORPHA:370968	POMT2
ORPHA:370968	LARGE1
ORPHA:370968	POMT1
ORPHA:333	ASAH1
ORPHA:101010	KIF1A
ORPHA:494344	RERE
ORPHA:101011	REEP1
